road_id,type,from_area,to_area,description,crosses_river,is_bridge,confidence,preferred,popularity,scenic_score,hot_route_group,hot_route_name,notes,geometry_wkt
R068,secondary_road,,,,no,no,0.75,yes,0.8,0.6,,,source_id=path75; needs_bridge_check,"LINESTRING(1361.1806 2316.4818, 1707.6628999999998 2319.3102)"
R069,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path76; needs_bridge_check,"LINESTRING(1319.4613 2089.5005, 1400 1862.5)"
R070,secondary_road,,,,no,no,0.75,yes,0.8,0.6,,,source_id=path77; needs_bridge_check,"LINESTRING(1319.4613 2089.5005, 1362.5947999999999 2137.5838, 1361.1806 2316.4818)"
R071,secondary_road,,,,no,no,0.75,yes,0.8,0.6,,,source_id=path78; needs_bridge_check,"LINESTRING(984.99975 2102.2285, 1319.4613 2089.5005)"
R072,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path79; needs_bridge_check,"LINESTRING(987.82817 2399.2133, 1150.4627 2399.2133, 1151.1698000000001 2578.8184)"
R073,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path80; needs_bridge_check,"LINESTRING(975.80736 2300.9255, 984.9997500000001 2102.2284999999997)"
R074,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path81; needs_bridge_check,"LINESTRING(975.80736 2300.9255, 987.82817 2399.2133)"
R075,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path82; needs_bridge_check,"LINESTRING(975.80736 2300.9255, 838.62864 2298.8041)"
R076,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path83; needs_bridge_check,"LINESTRING(838.62864 2298.8041, 835.09311 2095.1574, 720.54181 2085.2579)"
R077,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path84; needs_bridge_check,"LINESTRING(720.54181 2085.2579, 719.8347 1982.0203)"
R078,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path85; needs_bridge_check,"LINESTRING(719.8347 1982.0203, 934.08806 1984.1416)"
R079,secondary_road,,,,no,no,0.75,yes,0.8,0.6,,,source_id=path86; needs_bridge_check,"LINESTRING(934.08806 1984.1416, 934.79517 1762.1100999999999)"
R080,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path87; needs_bridge_check,"LINESTRING(934.79517 1762.1101, 1269 1712.5)"
